-5, -12, 1021
-1, -12, 1023
-10, -10, 1024
-14, -13, 1025
-9, -13, 1024
-9, -13, 1024
-8, -14, 1022
-5, -33, 1024
-2, -87, 1022
-7, -7, 1021
-7, -7, 1021
4, -51, 1026
0, -108, 1020
-31, -109, 1028
-20, -44, 1019
10, -25, 1029
10, -25, 1029
-25, -61, 1020
-5, -98, 1021
-5, -41, 1013
-57, -4, 1028
-24, 32, 1033
-24, 32, 1033
9, -40, 1019
24, -44, 1008
-20, -45, 1061
-11, -62, 994
-11, -62, 994
-5, 11, 1029
-20, 15, 1021
11, -37, 1040
5, -40, 1004
5, -40, 1004
-21, -50, 1048
19, 1, 1005
-28, -13, 1004
-5, 7, 1047
-5, 7, 1047
-20, 31, 1046
0, 23, 1019
-11, -1, 1009
-11, -1, 1009
-15, 6, 1048
-5, 66, 1016
5, 59, 1015
5, 59, 1015
-8, 115, 1026
-9, 98, 1023
-5, 67, 1026
-5, 67, 1026
-6, 9, 1025
0, -13, 1026
79, -26, 1024
79, -26, 1024
90, 7, 1028
87, -6, 1014
30, -25, 1034
69, -33, 1011
69, -33, 1011
22, -42, 1026
42, -15, 1021
54, -47, 1040
34, -49, 1022
34, -49, 1022
-10, -16, 996
-16, -6, 1043
-54, 8, 1045
-25, -3, 1022
-78, 8, 1007
-78, 8, 1007
-43, -1, 1043
-33, 15, 1003
1, -17, 1020
1, -17, 1020
-54, -15, 1044
-34, -7, 1022
-37, -31, 1021
0, -34, 1018
39, -16, 1031
39, -16, 1031
-12, -8, 1027
29, 13, 1027
37, -24, 1015
12, -55, 1032
12, -55, 1032
0, -24, 1024
-42, -26, 1028
-31, -10, 1023
-66, 2, 1022
-66, 2, 1022
-109, 0, 1031
-53, -9, 1016
-81, -13, 1032
-80, -21, 1024
-60, -12, 1024
-60, -12, 1024
-32, -17, 1025
-11, -15, 1027
-16, -16, 1025
-50, -15, 1022
-12, -11, 1026
-47, -52, 1020
-,-,-
-21, -8, 1031
3, -18, 1014
-6, -13, 1024
-12, -13, 1026
